Medication_Name	Medication_Biobank_Folder	Medication_GWAS_Group	Medication_Pegasus_Group	Search_Term	Ignore.case	Perl
Aclidinium	"Bronchodilators, anticholinergic"	Inhaled Anticholinergics		Aclidinium|Tudorza	FALSE	FALSE
Acrivastine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Acrivastine.*[Pp]seudoephedrine|Semprex	FALSE	FALSE
Albuterol	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		^Albuterol (0|5|8|\(|h.*gm|Inhl|inhaler hfa|n.*24$|[Ss]ulfate (\(|\.83|0.[^0]|1|2.5 mg/(0.5|3) ml|5|8|90 mcg( hfa|/A)|H|I))|^Id-Albuterol|^Proventil(-oncall| Hfa)|^Proair|^Ventolin	FALSE	TRUE
Albuterol	"Bronchodilators, sympathomimetic, oral"	Short Acting Beta Agonists		^Albuterol (\(R|inhaler 17|[Ss]ulfate (\.83 mg/ml|2 *mg|2.5.*blist|4|90.*18gm|Er|Oral)|syrup 2 mg)|Proventil (hfa-oncall|[Rr]epteabs)	FALSE	FALSE
Albuterol/ipratropium	"Antiasthma, other"	Short Acting Beta Agonists and Anticholinergics	Bronchodilators	Albuterol((?!sulfate).)*[Ii]pratropium|Combivent|Duoneb|^Ipratropium.*[Aa]lbuterol((?!ml$|vial).)*$	FALSE	TRUE
Aminophylline	"Bronchodilators, xanthine-derivative"	Xanthines	Theophylline	Aminophylline	FALSE	TRUE
Arformoterol	"Bronchodilators, sympathomimetic, inhalation"	Long Acting Beta Agonists		Arformoterol|Brovana	FALSE	FALSE
Astemizole	"Antihistamines, other"	Oral Antihistamines		Banophen|^Benadryl( |-)[^\dU]|Diphenhist|^((Allergy|Sleep Aid|Unisom) \(|Id-)*Diphenhydramine( |-|\))((?!Acetaminophen|MGH|[Zz]inc|chemo).)*$|-Dryl	FALSE	TRUE
Azatadine	"Antihistamines, piperidine"	Oral Antihistamines		Terfenadine|Seldane	FALSE	FALSE
Azatadine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Azatadine.*[Pp]seudoephedrine	FALSE	FALSE
Azelastine	"Antihistamines, nasal"	Intranasal Antihistamines		[Aa]stelin|Azelastine.(hcl|.*([Nn]as))	FALSE	FALSE
Azelastine/Fluticasone	"Antihistamines, nasal"	Intranasal Antihistamines		Azelastine.*[Ff]luticasone|Dymista	FALSE	FALSE
Beclomethasone dipropionate	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Inhaled Steroids	Beclomethasone([Dd]ipr)*((?![Nn]asal|80.*Aerosol).)*$|Beclovent|Beconase inhaler|Qvar|Vancenase inhaler|Vanceril	FALSE	TRUE
Beclomethasone dipropionate	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		Beclomethasone ([Dd]ipropionate)*.*([Nn]asal|80.*[Aa]erosol|cream)|Qnasl|(Beco|Vance)nase((?!inhaler).)*$	FALSE	TRUE
Betamethasone	Glucocorticoids		Inhaled Steroids	^Betamet( acet/|hasone (0.12|0.6|1mg|Acetate|Sodium|soluspan)|Celestone)	FALSE	FALSE
Bitolterol	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		Bitolterol	FALSE	FALSE
Brompheniramine	"Antihistamines, alkylamine"	Oral Antihistamines		Astemizole|Hismanal	FALSE	FALSE
Brompheniramine/phenylpropanolamine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Dimetapp	FALSE	FALSE
Brompheniramine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Brompheniramine.*[Pp]seudoephedrine|Bromfed	FALSE	FALSE
Budesonide	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Inhaled Steroids	^Budesonide(/formoterol fumarate 80| (-|0.25|0.5.*[Nn]eb|0.6|1|90|Inhl|inh |inhalation|nebulizer|[Oo]ral ))|^Pulmicort	FALSE	FALSE
Budesonide	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		"Budesonide.*[Nn]asa{0,1}l|Rhinocort"	FALSE	FALSE
Budesonide	Glucocorticoids			"^Budesonide(, M| (\(|0.5.*respule|2|3 *mg|Dr|ec|inhaler|Oral$|Rect))|^Bumetanide 1.*bottle$|Entocort|Uceris"	FALSE	FALSE
Budesonide/formoterol	"Antiasthma, other"	Inhaled Corticosteroids and Long Acting Beta Agonists	Inhaled Steroids	[Bb]udesonide.*[Ff]ormoterol((?!6.9).)*$|Symbicort	FALSE	TRUE
Carbinoxamine	"Antihistamines, ethanolamine"	Oral Antihistamines		Clemastine|Tavist	FALSE	FALSE
Carbinoxamine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Rondec	FALSE	FALSE
Cetirizine	"Antihistamines, piperazine"	Oral Antihistamines		(l|L)evocetirizine	FALSE	FALSE
Cetirizine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Cetirizine.*[Pp]seudoephedrine|Zyrtec-D	FALSE	FALSE
Chlorpheniramine	"Antihistamines, alkylamine"	Oral Antihistamines		Azatadine	FALSE	FALSE
Chlorpheniramine/phenindamine/phenylpropanolamine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Nolamine	FALSE	FALSE
Chlorpheniramine/phenylephrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Chlorpheniramine.*[Pp]henylephrine|Ru-tuss|Rynatan	FALSE	FALSE
Chlorpheniramine/phenylephrine/phenylpropanolamine/phenyltoloxamine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Naldecon	FALSE	FALSE
Chlorpheniramine/phenylpropanolamine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Chlorpheniramine.*[Pp]henylprop|Ornade	FALSE	FALSE
Chlorpheniramine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Chlorpheniramine.*[Pp]seudoephed|Cpm|Deconamine|Fedahist|Pepain|[Pp]seudoephedrine.*[Cc]hlorpheniramine	FALSE	FALSE
Ciclesonide	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Inhaled Steroids	Ciclesonide|Alvesco 160	FALSE	FALSE
Ciclesonide	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		Ciclesonide.*[Nn]asal|Omnaris|Alvesco \(c|Zetonna	FALSE	FALSE
Clemastine	"Antihistamines, ethanolamine"	Oral Antihistamines		Cyproheptadine|Periactin	FALSE	FALSE
Clemastine/phenylpropanolamine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Clemastine.*[Pp]henylpropanolamine|Tavist.[Dd]	FALSE	FALSE
Cortisone	Glucocorticoids		Cortisone	^Cortisone(-| (ace|lm|25|enema))	FALSE	FALSE
Cromolyn	"Antiasthma, other"	Inhaled Chormones		Cromolyn((?!%|[Nn]asal|[Oo]ral).)*$|Intal	FALSE	TRUE
Cromolyn	"Nasal and throat, topical, other"	Intranasal Chromones		Cromolyn.*[Nn]asal|Nasalcrom	FALSE	FALSE
Cyproheptadine	"Antihistamines, piperidine"	Oral Antihistamines		Tripelennamine|Pyribenzamine	FALSE	FALSE
Desloratadine	"Antihistamines, other"	Oral Antihistamines		Doxylamine [Ss]uccinate|Unisom sleeptabs	FALSE	FALSE
Desloratadine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		[Dd]esloratadine.*[Pp]seudoephedrine|Clarinex-[Dd]	FALSE	FALSE
Dexamethasone	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Inhaled Steroids	^Dexamethasone sod phospha($|te 4 mg)	FALSE	FALSE
Dexamethasone	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		^Dexamethasone (12|20) mg/100ml	FALSE	FALSE
Dexamethasone	Glucocorticoids		Oral Steroids	^Decadron-oncall|Dexpak|^(Id-)*Dexamethasone *(0.5|0.75|1[^2]|2.*[^s]$|3|4|6|\(|-|A|IVPB|liq|mouth|[Oo]ral|o.*217$|[Ss]odium|sod [Pp]hosphate(/pf| 20)|Syr|tab)|Pulmicort.*5919$	FALSE	FALSE
Dexbrompheniramine	"Antihistamines, alkylamine"	Oral Antihistamines		^Bromphenir	FALSE	FALSE
Dexbrompheniramine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Drixoral	FALSE	FALSE
Dexchlorpheniramine	"Antihistamines, alkylamine"	Oral Antihistamines		Carbinoxamine	FALSE	FALSE
Dexchlorpheniramine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Dexchlorpheniramine.*[Pp]seudoephedrine	FALSE	FALSE
Dimenhydrinate	"Antihistamines, ethanolamine"	Oral Antihistamines		Desloratadine|Clarinex( |-)[^d]	FALSE	FALSE
Diphenhydramine	"Antihistamines, ethanolamine"	Oral Antihistamines		Dexbromphen	FALSE	FALSE
Doxylamine	"Antihistamines, ethanolamine"	Oral Antihistamines		Dexchlorpheniramine	FALSE	FALSE
Ephedrine	"Bronchodilators, sympathomimetic, oral"			^Ephedrine sulfate (-|50 mg/ml$|.*[Cc]apsule)	FALSE	FALSE
Ephedrine/phenobarbital/theophylline	"Antiasthma, other"			Tedral-oncall	FALSE	FALSE
Epinephrine	"Bronchodilators, sympathomimetic, inhalation"	Epinephrine		^Epinephrine.(1(.*inhalation| to 1)|B|oncall$)	FALSE	FALSE
"Epinephrine, racemic"	"Bronchodilators, sympathomimetic, inhalation"	Epinephrine		"Racepinephrin"", Medication), ""Epinephrine,racemic"	FALSE	FALSE
