Medication,Medication_Name,Additional_Info,FREQ,Dose_By_Name_MCG,Dose_By_Puff_MCG,Dose_By_Information
Beclomethasone 80 mcg inhaler,Beclomethasone dipropionate,,,80,80,80
Beclomethasone dipr(qvar) 40 mcg aer wadap 7.3 gm,Beclomethasone dipropionate,,,40,40,80
Beclomethasone dipr(qvar) 80 mcg aer wadap 7.3 gm,Beclomethasone dipropionate,,,80,80,80
Beclomethasone dipropionate - LMR 3836,Beclomethasone dipropionate,,,,,120
Beclomethasone dipropionate - LMR 3836,Beclomethasone dipropionate,DOSE=0.04 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,,80,80
Beclomethasone dipropionate - LMR 3836,Beclomethasone dipropionate,DOSE=0.04 MG; DOSETYPE=R; FREQ=TID; ROUTE=INH,3,,120,120
Beclomethasone dipropionate - LMR 3836,Beclomethasone dipropionate,DOSE=0.08 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,,160,160
Beclomethasone dipropionate 40 mcg aer w/adap 8.7gm aer w/adap,Beclomethasone dipropionate,,,40,40,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,,,40,40,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=1 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=1 PUFF; FREQ=Daily; ROUTE=Inhl,1,40,40,40
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=1 PUFF; FREQ=PRN; ROUTE=Inhl,,40,40,40
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=1 PUFF; FREQ=QAM; ROUTE=Inhl,1,40,40,40
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=1 PUFF; ROUTE=Inhl,,40,40,40
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=BID PRN;,2,40,160,160
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,40,160,160
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,40,160,160
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,40,160,160
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=Daily PRN; ROUTE=Inhl,1,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=Daily; ROUTE=Inhl,1,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=PRN; ROUTE=Inhl,,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; FREQ=See Admin Instructions; ROUTE=Inhl,,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=2 PUFF; ROUTE=Inhl,,40,80,80
Beclomethasone Dipropionate 40 mcg/Actuation Aerosol Inhaler,Beclomethasone dipropionate,DOSE=3 PUFF; FREQ=BID; ROUTE=Inhl,2,40,240,240
Beclomethasone dipropionate 80 mcg aer w/adap 8.7gm aer w/adap,Beclomethasone dipropionate,,,80,80,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,,,40,40,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=0.08 MG; FREQ=BID; ROUTE=INH,2,40,160,160
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,40,80,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=1 PUFFS; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,40,40,40
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=1 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,40,40,40
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=1 PUFFS; FREQ=BID; ROUTE=INH,2,40,80,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,40,160,160
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,40,80,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QPM; ROUTE=INH,1,40,80,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; FREQ=TID; ROUTE=INH,3,40,240,240
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,40,160,160
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; FREQ=QD; ROUTE=INH,1,40,80,80
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,DOSE=2 PUFFS; FREQ=TID; ROUTE=INH,3,40,240,240
Beclomethasone dipropionate oral inhalation 40 mcg/puff - LMR 71,Beclomethasone dipropionate,FREQ=BID; ROUTE=INH,2,40,80,80
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,,,80,80,160
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=1 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,160,160
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=1 PUFFS; DOSETYPE=R; FREQ=QAM; ROUTE=INH,1,80,80,80
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,320,320
